text,category,option1,option2,option3,option4,correctAnswer,difficulty
What is the grid of rows and columns in Excel used to store data called?,Excel Interface,Worksheet,Ribbon,Workbook,Chart,0,1
"Which Excel element contains tabs like Home, Insert, and Data?",Excel Interface,Ribbon,Formula Bar,Status Bar,Name Box,0,1
The small customizable toolbar above the Ribbon is called:,Excel Interface,Quick Access Toolbar,Status Bar,Navigation Pane,Formula Bar,0,1
What is the default name given to a new Excel workbook?,Excel Interface,Book1,Workbook,Sheet1,ExcelFile,0,1
Which bar displays messages such as 'Ready' or 'Calculate'?,Excel Interface,Status Bar,Ribbon,Name Box,Formula Bar,0,1
Which component shows the address of the active cell?,Excel Interface,Name Box,Formula Bar,Status Bar,Ribbon,0,1
Which Excel object stores multiple worksheets?,Excel Interface,Workbook,Range,Table,Cell,0,1
Which tab contains commands for inserting charts and tables?,Excel Interface,Insert,Home,Review,View,0,1
Which Excel view shows pages as they will appear when printed?,Excel Interface,Page Layout View,Normal View,Outline View,Draft View,0,1
What is the vertical group of cells called?,Excel Interface,Column,Row,Range,Sheet,0,1
What is the horizontal group of cells called?,Excel Interface,Row,Column,Range,Workbook,0,1
Which keyboard key moves the selection one cell down?,Excel Basics,Enter,Tab,Shift,Ctrl,0,1
Which key moves the selection one cell to the right?,Excel Basics,Tab,Enter,Ctrl,Alt,0,1
A rectangular selection of cells is called a:,Excel Basics,Range,Table,Column,Row,0,1
Which Excel tab contains formatting tools such as font and alignment?,Excel Basics,Home,Data,Insert,View,0,1
What does the Zoom control in Excel adjust?,Excel Interface,Worksheet magnification,Cell height,Chart size,Column width,0,1
Which feature allows quick undo of the last action?,Excel Interface,Undo button,Sort tool,Filter tool,Find tool,0,1
Which Excel feature lets users quickly access frequently used commands?,Excel Interface,Quick Access Toolbar,Pivot Table,Name Manager,Chart Tools,0,1
Which tab allows you to freeze rows or columns?,Excel Interface,View,Insert,Home,Review,0,1
Which option allows switching between worksheets?,Excel Interface,Sheet Tabs,Status Bar,Formula Bar,Ribbon,0,1
"Typing numbers, text, or formulas into cells is known as:",Data Entry,Data entry,Data sorting,Data grouping,Data analysis,0,1
Which key edits the content of the active cell?,Data Entry,F2,F1,F5,F7,0,1
"Which Excel feature automatically fills a series like 1,2,3 when dragged?",Data Entry,Autofill,Filter,Sort,Group,0,1
The small square in the corner of a selected cell used for autofill is called:,Data Entry,Fill Handle,Data Marker,Cell Handle,Formula Pointer,0,1
Which feature extracts patterns from examples such as splitting names?,Data Entry,Autofill,Flash Fill,Sort,Pivot,1,1
Double-clicking the fill handle usually fills cells:,Data Entry,Down to last adjacent data row,Across worksheet,Entire workbook,One cell,0,1
Which shortcut pastes copied data?,Data Entry,Ctrl+V,Ctrl+C,Ctrl+X,Ctrl+P,0,1
Which shortcut copies selected cells?,Data Entry,Ctrl+C,Ctrl+V,Ctrl+X,Ctrl+Z,0,1
Which shortcut cuts selected data?,Data Entry,Ctrl+X,Ctrl+V,Ctrl+C,Ctrl+S,0,1
Which key cancels data entry in a cell?,Data Entry,Esc,Enter,Tab,Ctrl,0,1
Which Excel feature corrects common typing mistakes automatically?,Data Entry,AutoCorrect,AutoFilter,AutoFill,AutoChart,0,1
Which option allows repeating the last Excel action quickly?,Data Entry,F4,F2,F6,F9,0,1
Which feature allows selecting multiple non‑adjacent cells?,Data Entry,Hold Ctrl,Hold Shift,Hold Alt,Hold Tab,0,1
Which shortcut selects the entire worksheet?,Data Entry,Ctrl+A,Ctrl+S,Ctrl+E,Ctrl+R,0,1
Which command removes the contents of a cell but keeps formatting?,Data Entry,Clear Contents,Delete Sheet,Sort,Filter,0,1
What does pressing Ctrl+Z do?,Data Entry,Undo last action,Redo action,Insert row,Save file,0,1
What does Ctrl+Y typically perform?,Data Entry,Redo action,Undo action,Save file,Print file,0,1
Which Excel feature automatically detects data patterns during typing?,Data Entry,Flash Fill,Pivot,Goal Seek,Solver,0,1
Which option inserts a new blank worksheet?,Data Entry,Insert Sheet,Insert Chart,Insert Table,Insert Pivot,0,1
Which feature allows renaming a worksheet?,Data Entry,Double‑click sheet tab,Format cell,Sort table,Filter column,0,1
Which formatting tool changes the size of text in a cell?,Formatting,Font Size,Cell Height,Zoom,Row Width,0,1
Which option makes text bold?,Formatting,Bold,Italic,Underline,Center,0,1
Which formatting aligns text in the center of a cell?,Formatting,Center Align,Left Align,Wrap Text,Merge,0,1
Which tool displays text on multiple lines within one cell?,Formatting,Wrap Text,Merge Cells,Sort,Filter,0,1
Which feature combines multiple cells into one larger cell?,Formatting,Merge Cells,Wrap Text,Sort,Filter,0,1
Which formatting tool adds lines around cells?,Formatting,Borders,Fill Color,Font Color,Alignment,0,1
Which tool copies formatting from one cell to another?,Formatting,Format Painter,Find,Replace,Filter,0,1
Which formatting option changes the color behind cell text?,Formatting,Fill Color,Font Color,Border,Wrap,0,1
Which formatting changes the color of the text itself?,Formatting,Font Color,Fill Color,Border,Wrap,0,1
Which Excel feature automatically adjusts column width to fit data?,Formatting,AutoFit,Merge,Sort,Filter,0,1
Which number format displays a currency symbol?,Formatting,Currency,General,Text,Date,0,1
Which number format displays percentages?,Formatting,Percentage,Text,Currency,General,0,1
Which number format is used for calendar dates?,Formatting,Date,Currency,Percentage,Text,0,1
Which option rotates text within a cell?,Formatting,Orientation,Wrap,Merge,Align,0,1
Which command increases the number of decimal places shown?,Formatting,Increase Decimal,Decrease Decimal,AutoFit,Wrap,0,1
Which command reduces decimal places?,Formatting,Decrease Decimal,Increase Decimal,Merge,Sort,0,1
Which feature visually highlights cells meeting rules?,Formatting,Conditional Formatting,Merge Cells,Wrap Text,Freeze Panes,0,1
Which feature applies predefined formatting styles quickly?,Formatting,Cell Styles,Sort,Filter,Pivot,0,1
Which formatting option indents text inside a cell?,Formatting,Indent,Wrap,Merge,Sort,0,1
Which feature keeps header rows visible when scrolling?,Formatting,Freeze Panes,Merge Cells,Wrap Text,Sort,0,1
Which symbol begins every Excel formula?,Formulas,=,+,$,#,0,1
Which formula adds cells A1 through A10?,Formulas,0,#NAME?,A1+A10,SUM=A1:A10,0,1
Which function calculates the average of a range?,Functions,AVERAGE,COUNT,SUM,MAX,0,1
Which function counts numeric cells?,Functions,COUNT,SUM,AVERAGE,MAX,0,1
Which function finds the largest number in a range?,Functions,MAX,MIN,COUNT,SUM,0,1
Which function finds the smallest number in a range?,Functions,MIN,MAX,COUNT,SUM,0,1
Which operator multiplies two values?,Formulas,*,/,+,-,0,1
Which operator subtracts numbers?,Formulas,-,+,/,*,0,1
Which operator divides numbers?,Formulas,/,*,+,-,0,1
